Expectations,Keywords
-,
,
,
,
which applications should I use as a beginner to create my own website or project,web ide frameworks
Honestly I would like to learn dirty work. And practical SWE mindsets.,se industry workflow
,
Practice writing good architectures smoothly,design
"I have little baseline understanding of software engineering, hence it is hard for me to specify detailed aspects of SWE I want to learn. However, I am doing SWE internship in the coming summer, so I want to get prepared for the internship.",se internships unsure
,
,
,
,
,
Production frameworks,frameworks industry
,
,
,
,
Practical software engineering skills that is highly relevant in industry.,se industry
,
,
,
Java OOP,java oop
,
,
,
,
Learn more about the standard of SWE,se industry workflow
,
NIL,
NIL,
,
Nil,
,
N/A,
,
na,
Proper SWE development projects,se workflow
,
,
Best practices in SE,se code
,
,
,
,
devops,devops
,
,
,
How to manage complexity. How to be a good team member.,design large groupwork soft
,
,
,
,
,
Java frameworks frequently used in the modern SWE internships such as Spring?,frameworks java internships
,
Team work,groupwork soft
learn how to develop a software app,se code workflow
I wish to explore more in this subject as I have never had much experience before. My goal is to gain some proficiency in Software Engineering and get and internship.,interest se internships
,
,
I would like to learn more about proper software testing techniques.,testing
"Git, documentation, unit and integration tests",git documentation testing
,
"Formal understanding of SWE Principals, better understanding on how to use Github and collaborate within Github.",se git groupwork
"Using GitHub and itellij more effectively, coding project management",git ide workflow
How to make a scalable software,performance large
,
"Git version control, Agile, how to work with hardware engineers and real world inputs - e.g. autonomous vehicle camera sensors or iOT devices; of course this should be covered more in depth in Computer Vision but a basic introduction would be nice",git workflow industry groupwork
,
,
NIL,
Learn to utilize more on Git and also to learn how to properly package and have the right architecture in software development.,git design
Professional Usage of Git and Github. Software Engineering fundamentals and understanding.,git se
,
NA,
Software engineering,se
,
,
"I want to imbibe good, safe software engineering principles and practices. I want to develop myself not just as an individual programmer but on how to work with others in a bigger project.",se groupwork soft
"How to actually properly start a new SWE project, system design, how to properly merge pull requests, how to manage different versions of the same project (if thats even something that people do)",workflow design git se
,
be proficient in SE practices,se
,
,
,
,
NA,
"The structure of building a project. I feel like with my education so far, I have been learning a lot about the languages, giving me a good base, but i do not know how to use the knowledge to make my own projects/hackathon participations due to the structure of the tech stack, how to start ideating etc.",se workflow design
,
,
,
System design and project management,design workflow
,
,
"Just how to properly do a project and whether software engineering is really for me, also want to be able to code on the spot",se workflow code unsure
,
Having better software engineering practices and teamwork skills,se groupwork soft
Git,git
Project organisation and code review.,workflow code
,
,
,
,
,
,
,
I want to learn how to use frontend and backend together. I have heard that the programming projects in 2103 are mostly backend only (with not / not a lot of frontend code). I want to be taught react.,backend desktop web frameworks
NIL,
NIL,
,
,
,
git,git
"Version control, writing clean and maintainable code in a large codebase, some app/web development",git code large web
#NAME?,pending
,
,
,
,
,
"flow of software engineering, when we are given a software engineering task, how should we approach it, plan it, then execute it; what are some tools that could help us during the process",se workflow design industry
,
,
basic software engineering skills and how do effectively work in a team of SWEs to gain skills for internships,se groupwork soft internships
,
"I expect to learn how to use git effectively, eg. how to use pull request etc",git
Nil,
NA,
,
,
,
,
applications of more se concepts,se
"I want to learn how to organize and plan projects, mainly the crucial things needed before execution",workflow design
,
,
,
,
"Proper version control and collaboration on GitHub such as pull requests etc, especially with more than 2 people involved. Software testing",git groupwork testing
